,년월,시구,시군구,계약구분,사용량(kWh)
858,202205,서울특별시,강북구,일반용,"28,638,227"
866,202205,서울특별시,강서구,일반용,"109,805,300"
874,202205,서울특별시,관악구,일반용,"54,112,183"
882,202205,서울특별시,광진구,일반용,"44,492,372"
890,202205,서울특별시,구로구,일반용,"62,069,895"
898,202205,서울특별시,금천구,일반용,"77,120,324"
906,202205,서울특별시,노원구,일반용,"43,347,976"
914,202205,서울특별시,도봉구,일반용,"24,022,399"
922,202205,서울특별시,동대문구,일반용,"42,256,714"
930,202205,서울특별시,동작구,일반용,"40,662,878"
938,202205,서울특별시,마포구,일반용,"97,586,940"
946,202205,서울특별시,서대문구,일반용,"41,084,239"
954,202205,서울특별시,서초구,일반용,"141,523,908"
962,202205,서울특별시,성동구,일반용,"54,108,848"
970,202205,서울특별시,성북구,일반용,"37,187,734"
978,202205,서울특별시,송파구,일반용,"133,911,913"
986,202205,서울특별시,양천구,일반용,"77,946,630"
994,202205,서울특별시,영등포구,일반용,"130,261,795"
1002,202205,서울특별시,용산구,일반용,"62,605,922"
1010,202205,서울특별시,은평구,일반용,"38,178,400"
1018,202205,서울특별시,종로구,일반용,"87,152,665"
1025,202205,서울특별시,중구,일반용,"127,183,571"
1033,202205,서울특별시,중랑구,일반용,"33,142,284"
