년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,광주광역시,광산구,일반용,15061,281835791,18.39
201207-201212,광주광역시,광산구,합계,15364,1532308044,
201207-201212,광주광역시,남구,일반용,9834,135207167,41.58
201207-201212,광주광역시,남구,합계,12617,325205486,
201207-201212,광주광역시,동구,일반용,11244,185437757,59.49
201207-201212,광주광역시,동구,합계,10063,311690015,
201207-201212,광주광역시,북구,일반용,25301,356944348,32.18
201207-201212,광주광역시,북구,합계,26306,1109290037,
201207-201212,광주광역시,서구,일반용,16445,380396968,50.57
201207-201212,광주광역시,서구,합계,15944,752247009,
